toko|rkey|desc|period
TMFM|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TPCE|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TPCE|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TQ4K|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TQ4K|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TR9A|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TR9A|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TS1S|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TS1S|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TUOL|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TUOL|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TXGA|SMR|POS RETUR SMR|1/1/9999 12:00:00 AM
TXGA|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TYI6|SMR|POS RETUR SMR|10/7/2023 12:00:00 AM
TYI6|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TYTD|SMB|Switch PosBPB ke PosPermintaanBarang|11/3/2023 12:00:00 AM
TYTD|SMR|POS RETUR SMR|1/1/9999 12:00:00 AM
